date,type,amount_inr,category,withdrawal,deposit,balance,ref_no
2023-01-01,DEBIT,3950.0,Rent,3950.0,0.0,1837.23,300000000000
2023-01-03,DEBIT,105.0,Misc,105.0,0.0,1732.23,300000000000
2023-01-03,CREDIT,55.0,Misc,0.0,55.0,1787.23,337000000000
2023-01-03,DEBIT,56.0,Food,56.0,0.0,1731.23,300000000000
2023-01-03,DEBIT,1.0,Misc,1.0,0.0,1730.23,337000000000
2023-01-03,DEBIT,30.0,Food,30.0,0.0,1700.23,300000000000
2023-01-04,DEBIT,500.0,Misc,500.0,0.0,1200.23,300000000000
2023-01-04,DEBIT,1.0,Misc,1.0,0.0,1199.23,300000000000
2023-01-04,DEBIT,500.0,Misc,500.0,0.0,699.23,300000000000
2023-01-10,DEBIT,27.0,Food,27.0,0.0,1421.73,338000000000
2023-01-10,DEBIT,131.5,Food,131.5,0.0,1448.73,338000000000
2023-01-10,DEBIT,40.0,Food,40.0,0.0,1600.23,338000000000
2023-01-10,DEBIT,110.0,Misc,110.0,0.0,1640.23,338000000000
2023-01-10,DEBIT,20.0,Food,20.0,0.0,1580.23,301000000000
2023-01-10,CREDIT,1289.0,Misc,0.0,1289.0,1801.23,338000000000
2023-01-10,DEBIT,10.0,Food,10.0,0.0,512.23,301000000000
2023-01-10,DEBIT,149.0,Misc,149.0,0.0,522.23,301000000000
2023-01-10,DEBIT,28.0,Food,28.0,0.0,671.23,301000000000
2023-01-10,DEBIT,51.0,Food,51.0,0.0,1750.23,301000000000
2023-01-11,DEBIT,20.0,Food,20.0,0.0,873.73,301000000000
2023-01-11,DEBIT,50.0,Food,50.0,0.0,893.73,338000000000
2023-01-11,DEBIT,305.0,Misc,305.0,0.0,943.73,338000000000
2023-01-11,DEBIT,30.0,Food,30.0,0.0,1248.73,338000000000
2023-01-11,DEBIT,60.0,Food,60.0,0.0,1278.73,338000000000
2023-01-11,CREDIT,33.0,Misc,0.0,33.0,1371.73,301000000000
2023-01-11,DEBIT,33.0,Food,33.0,0.0,1338.73,301000000000
2023-01-11,CREDIT,33.0,Misc,0.0,33.0,1371.73,338000000000
2023-01-11,DEBIT,33.0,Food,33.0,0.0,1338.73,338000000000
2023-01-11,DEBIT,50.0,Food,50.0,0.0,1371.73,301000000000
2023-01-11,DEBIT,33.0,Food,33.0,0.0,1338.73,301000000000
2023-01-12,DEBIT,30.0,Food,30.0,0.0,648.73,338000000000
2023-01-12,DEBIT,20.0,Food,20.0,0.0,628.73,301000000000
2023-01-12,DEBIT,60.0,Food,60.0,0.0,678.73,301000000000
2023-01-12,DEBIT,35.0,Food,35.0,0.0,738.73,301000000000
2023-01-12,DEBIT,10.0,Food,10.0,0.0,773.73,338000000000
2023-01-12,DEBIT,33.0,Food,33.0,0.0,783.73,301000000000
2023-01-12,DEBIT,57.0,Food,57.0,0.0,816.73,338000000000
2023-02-01,DEBIT,30.0,Food,30.0,0.0,11626.97,303000000000
